id;parent_id/id;name
senario.product_category_cosmetique_clayton_preparerSaPeau;senario.product_category_cosmetique_clayton;Cosmétiques Clayton-Shagal : Préparer sa peau
senario.product_category_cosmetique_esthederm;senario.product_category_all;Cosmétiques Esthederm
senario.product_category_cosmetique_esthederm_protectionSolaire;senario.product_category_cosmetique_esthederm;Cosmétiques Esthederm : Protection solaire
senario.product_category_cosmetique_esthederm_protectionSolaire_soinBronzant;senario.product_category_cosmetique_esthederm_protectionSolaire;Cosmétiques Esthederm : Protection solaire, soins bronzants
senario.product_category_cosmetique_esthederm_protectionSolaire_soinHauteProtection;senario.product_category_cosmetique_esthederm_protectionSolaire;Cosmétiques Esthederm : Protection solaire, soins haute protection
senario.product_category_cosmetique_esthederm_protectionSolaire_soinEcranSoleilInterdit;senario.product_category_cosmetique_esthederm_protectionSolaire;Cosmétiques Esthederm : Protection solaire, soins écran solaire interdit
senario.product_category_cosmetique_esthederm_protectionSolaire_soinApresSoleil;senario.product_category_cosmetique_esthederm_protectionSolaire;Cosmétiques Esthederm : Protection solaire, soins après-soleil
senario.product_category_cosmetique_esthederm_protectionSolaire_soinRefletSoleil;senario.product_category_cosmetique_esthederm_protectionSolaire;Cosmétiques Esthederm : Protection solaire, soins reflets de soleil
senario.product_category_cosmetique_esthederm_soinCorps;senario.product_category_cosmetique_esthederm;Cosmétiques Esthederm : Soins du corps
senario.product_category_cosmetique_esthederm_soinCorps_morphoCellularCare;senario.product_category_cosmetique_esthederm_soinCorps;Cosmétiques Esthederm : Soins du corps, morpho cellular care
senario.product_category_cosmetique_esthederm_soinCorps_morphoCellularCare_sveltSystem;senario.product_category_cosmetique_esthederm_soinCorps_morphoCellularCare;Cosmétiques Esthederm : Soins du corps, morpho cellular care, svelt system
senario.product_category_cosmetique_esthederm_soinCorps_morphoCellularCare_sculptSystem;senario.product_category_cosmetique_esthederm_soinCorps_morphoCellularCare;Cosmétiques Esthederm : Soins du corps, morpho cellular care, sculpt system
senario.product_category_cosmetique_esthederm_soinCorps_molecularCare;senario.product_category_cosmetique_esthederm_soinCorps;Cosmétiques Esthederm : Soins du corps, molecular care
senario.product_category_cosmetique_esthederm_soinCorps_molecularCare_intensifGlauscine;senario.product_category_cosmetique_esthederm_soinCorps_morphoCellularCare;Cosmétiques Esthederm : Soins du corps, molecular care, intensif glauscine
senario.product_category_cosmetique_esthederm_soinVisage;senario.product_category_cosmetique_esthederm;Cosmétiques Esthederm : Soins visage
senario.product_category_cosmetique_esthederm_soinVisage_timeTechnologie;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, time technologie (1ier signe de l'age)
senario.product_category_cosmetique_esthederm_soinVisage_concentreCellulaire;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, concentré cellulaire
senario.product_category_cosmetique_esthederm_soinVisage_soinProtecteur;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, soins protecteurs
senario.product_category_cosmetique_esthederm_soinVisage_liftRepair;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, lift & repair (soins jeunesse 30-40 ans)
senario.product_category_cosmetique_esthederm_soinVisage_cycloSystem;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, cyclo system (soins jeunesse + de 40 ans)
senario.product_category_cosmetique_esthederm_soinVisage_eauCellulaire;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, eau cellulaire
senario.product_category_cosmetique_esthederm_soinVisage_whiteSystem;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, white system (peau hyper-pigmentée)
senario.product_category_cosmetique_esthederm_soinVisage_preparerSaPeau;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, préparer sa peau
senario.product_category_cosmetique_esthederm_soinVisage_pureSystem;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, pure system (peau grasse)
senario.product_category_cosmetique_esthederm_soinVisage_hydraSystem;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, hydra system (peau déshydratée)
senario.product_category_cosmetique_esthederm_soinVisage_sensiSystem;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, sensi system (peau sensible)
senario.product_category_cosmetique_esthederm_soinVisage_activeRepair;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, active repair (soins jeunesse - de 30 ans)
senario.product_category_cosmetique_esthederm_soinVisage_energiserSaPeau;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, énergiser sa peau
senario.product_category_cosmetique_esthederm_soinVisage_boosterSaPeau;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, booster sa peau
senario.product_category_cosmetique_esthederm_soinVisage_intensifHyaluronic;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, intensif hyaluronic
senario.product_category_cosmetique_esthederm_soinVisage_intensifPropolis;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, intensif propolis
senario.product_category_cosmetique_esthederm_soinVisage_intensifVitamineE2;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, intensif vitamine E2
senario.product_category_cosmetique_esthederm_soinVisage_intensifSpiruline;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, intensif spiruline
senario.product_category_cosmetique_esthederm_soinVisage_intensifPadinaPavonica;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, intensif padina pavonica
senario.product_category_cosmetique_esthederm_soinVisage_intensifVitamineC;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, intensif vitamine C
senario.product_category_cosmetique_esthederm_soinVisage_intensifVitamineA;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, intensif vitamine A
senario.product_category_cosmetique_esthederm_soinVisage_dermRepair;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, derm repair
senario.product_category_cosmetique_esthederm_soinVisage_nutriSystem;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, nutri system
senario.product_category_cosmetique_esthederm_soinVisage_intensifRetinol;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, intensif rétinol
senario.product_category_cosmetique_esthederm_soinVisage_intensifAHA;senario.product_category_cosmetique_esthederm_soinVisage;Cosmétiques Esthederm : Soins visage, intensif AHA
