id,default_code,name,description_purchase,description_sale,purchase_ok,sale_ok,type,track_service,invoice_policy,route_ids,chemistry,list_price,taxes_id/id,standard_price,sale_delay,warranty,uom_id/id,categ_id/id,uom_po_id/id,company_id/id
__setup__.product_1069,1069,Brac. Frottements tournants,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,200,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1070,1070,Brac. mouv.alternés poignet,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,75,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1071,1071,Brac. mouv.désordonnés,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,65,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1072,1072,Brac. pliage,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,65,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1073,1073,Brac. Rupture,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,50,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1074,1074,Brac. traction / flexion,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,75,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1075,1075,Brac. traction / torsion,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,75,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1076,1076,Brac. usure boucle,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,100,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1077,1077,Brac. usure passant,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,100,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1078,1078,Bracelet,,,,TRUE,Consumable,,,,,0,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1079,1079,Brin,,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1061,1061,Base et cétone de Michler,,,,TRUE,service,Create a task and track hours,Delivered quantities,,chem,130,l10n_ch.3_vat_O_exclude,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1081,1081,Carrure,,,,TRUE,Consumable,,,,,0,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1082,1082,Charge appliquée : 10 N,,,,TRUE,Consumable,,,,,0,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1083,1083,Charge appliquée : 15 N,,,,TRUE,Consumable,,,,,0,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1084,1084,Charge appliquée : 30 N,,,,TRUE,Consumable,,,,,0,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1085,1085,Charge appliquée : 5 N,,,,TRUE,Consumable,,,,,0,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1086,1086,Charge appliquée : 50 N,,,,TRUE,Consumable,,,,,0,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1087,1087,Charge appliquée [g],,,,TRUE,Consumable,,,,,0,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1088,1088,Chocs horizontaux,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,50,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1089,1089,Choc mouton-pendule,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,50,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1090,1090,Choc mouton-pendule transport,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,50,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1091,1091,Choc sur poussoir à 45° (500g),,,,TRUE,service,Create a task and track hours,Delivered quantities,,,15,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1092,1092,Choc thermique 250°C (Dépôt or) + Immersion 10°C,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,70,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1093,1093,Choc thermique 425°C (Dépôt galv.)+Immersion 10°C,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,70,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1094,1094,Choc vertical par chute libre,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,30,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1095,1095,Chocs Chappuis,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,50,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1096,1096,Chocs thermiques,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,20,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1097,1097,Chocs transport,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,50,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1349,1349,Chlorure de vinyle,,,,TRUE,service,Create a task and track hours,Delivered quantities,,chem,130,l10n_ch.3_vat_O_exclude,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1350,1350,Chlorophénols,,,,TRUE,service,Create a task and track hours,Delivered quantities,,chem,130,l10n_ch.3_vat_O_exclude,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1099,1099,Colophane,,,,TRUE,service,Create a task and track hours,Delivered quantities,,chem,130,l10n_ch.3_vat_O_exclude,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1100,1100,Colorants allergènes dispersés,,,,TRUE,service,Create a task and track hours,Delivered quantities,,chem,220,l10n_ch.3_vat_O_exclude,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
