id,code,name,user_type_id/id,reconcile,currency_id/id,company_id/id
__setup__.mte_coa_4070,4070,Outillage et renouvellement d'installations,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_4080,4080,Leasing achat matériel laboratoire,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_4090,4090,Développement R & D,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_5000,5000,Salaires,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_5020,5020,Primes et provisions,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_5700,5700,"AVS, AI, APG",account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_5710,5710,Caisse de compensation familiale,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_5720,5720,Prévoyance professionnelle,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_5730,5730,Assurance-accidents,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_5740,5740,Assurance pour indémnités maladie,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_5790,5790,Impôts à la source,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_5810,5810,Manifeations en faveur du personnel,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_5820,5820,Frais de voyages,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_5830,5830,Frais forfaitaires,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_5890,5890,Autres charges de personnel,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_5900,5900,Employés temporaires,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6000,6000,Loyer,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6030,6030,Charges accessoires,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6040,6040,Nettoyage + frais de locaux,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6200,6200,"Réparation, service et nettoyage",account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6210,6210,Carburants,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6215,6215,Part privée véhicule,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6220,6220,Assurances,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6230,6230,Divers,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6240,6240,Leasing voiture,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6270,6270,"Frets, frais de transport",account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6300,6300,Assurance RC entreprise,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6310,6310,Assurance installations éléctrotechniques,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6400,6400,Electricité,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6500,6500,Matériel de bureau,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6501,6501,Matériel informatique,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6502,6502,Consommables de bureau,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6510,6510,Téléphone,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6512,6512,Frais de timbre,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6513,6513,Frais de colis,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6520,6520,Dons et cadeaux,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6530,6530,Honoraires pour fiduciaire/avocat/notaire,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6540,6540,Produits entretien/nettoyage,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6560,6560,Développement ERP,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6570,6570,Divers,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6575,6575,Horaires et frais d'accréditation,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6580,6580,Honoraires pour informatique,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6590,6590,Documentations professionnelle,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6600,6600,Publicité,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6610,6610,Imprimés publicitaires,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6640,6640,Frais de voyage,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6641,6641,Conseils à la clientèle,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6650,6650,Charges extraordinaires,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6700,6700,Carte crédit entreprise,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6800,6800,Charges financières pour crédit bancaire,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6840,6840,Frais de banque,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6850,6850,Intérêts créanciers,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6860,6860,Gains de change,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6865,6865,Pertes de change,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6900,6900,Amortissements sur machines et appareils,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6905,6905,Amortissements matériel laboratoire+métallogr.,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6910,6910,Amortissements sur mobilier et installations,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6920,6920,Amortissement machines de bureau et informatiq-,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_6930,6930,Amortissement automobile,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_7500,7500,Variation de ducroire sur débiteurs,account.data_account_type_revenue,,,__setup__.company_mte
__setup__.mte_coa_7700,7700,Variation provision garanties,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_7710,7710,Variation provision conjoncturelle,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_8900,8900,Impôts,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_8910,8910,Produits extraordinaires,account.data_account_type_revenue,,,__setup__.company_mte
__setup__.mte_coa_9001,9001,Produits extraordinaires,account.data_account_type_revenue,,,__setup__.company_mte
__setup__.l10n_ch_coa_original_999999___setup___company_mte,9999,Interne,account.data_unaffected_earnings,,,__setup__.company_mte
