city;country_id/id;id;is_company;customer;lang;lastname;street;street2;tz;zip
BOURG EN BRESSE;base.fr;scenario.user_center_bourg_res_partner;False;False;fr_FR;BOURG EN BRESSE;5 Rue Gustave Doré;;Europe/Paris;1000
MARSEILLE;base.fr;scenario.company_agencyfr_center55_res_partner;True;True;fr_FR;MARSEILLE 6 PL DE LA PRÉFECTURE;2 rue Armeny;;Europe/Paris;13006
MARSEILLE;base.fr;scenario.user_center_marseille6_res_partner;False;False;fr_FR;MARSEILLE 6 PL DE LA PRÉFECTURE;2 rue Armeny;;Europe/Paris;13006
MACON;base.fr;scenario.company_agencyfr_center56_res_partner;True;True;fr_FR;MÂCON;29 rue du pont;;Europe/Paris;71000
MACON;base.fr;scenario.user_center_macon_res_partner;False;False;fr_FR;MÂCON;29 rue du pont;;Europe/Paris;71000
VINCENNES;base.fr;scenario.company_agencyfr_center58_res_partner;True;True;fr_FR;VINCENNES;105 rue de Fontenay;;Europe/Paris;94300
VINCENNES;base.fr;scenario.user_center_vincennes_res_partner;False;False;fr_FR;VINCENNES;105 rue de Fontenay;;Europe/Paris;94300
BÉZIERS;base.fr;scenario.company_agencyfr_center59_res_partner;True;True;fr_FR;BÉZIERS;3, Place Pierre Sémard;;Europe/Paris;34500
BÉZIERS;base.fr;scenario.user_center_beziers_res_partner;False;False;fr_FR;BÉZIERS;3 place Pierre Semard;;Europe/Paris;34500
BRIE COMPTE ROBERT;base.fr;scenario.company_agencyfr_center62_res_partner;True;True;fr_FR;MELUN;1 rue de Mongazon;;Europe/Paris;77170
MELUN;base.fr;scenario.user_center_melun_res_partner;False;False;fr_FR;MELUN;12 bis rue Saint Liesne;;Europe/Paris;77000
BLOIS;base.fr;scenario.company_agencyfr_center65_res_partner;True;True;fr_FR;ORLÉANS;2 rue du Maréchal de Lattre de Tassigny.;;Europe/Paris;41000
ORLÉANS;base.fr;scenario.user_center_orleans_res_partner;False;False;fr_FR;ORLÉANS;42 rue Sainte Catherine;;Europe/Paris;45000
LA VARENNE ST HILAIRE;base.fr;scenario.company_agencyfr_center66_res_partner;True;True;fr_FR;LA VARENNE SAINT HILAIRE;4 rue St Hilaire;;Europe/Paris;94210
LA VARENNE SAINT HILAIRE;base.fr;scenario.user_center_varenne_res_partner;False;False;fr_FR;LA VARENNE SAINT HILAIRE;4 rue Saint Hilaire;;Europe/Paris;94210
ANTIBES;base.mx;scenario.company_agencymx_center67_res_partner;True;True;fr_FR;FORMATION MX;1 Rue trachel;;America/Mexico_City;63000
NICE;base.mx;scenario.user_center_formation_mx_res_partner;False;False;es_MX;FORMATION MX;196 Avenue de la Californie California Park Chateau de Leliwa;;America/Mexico_City;6000
GENÈVE;base.ch;scenario.company_agencych_center69_res_partner;True;True;fr_FR;GENÈVE;Rue de Lausanne 31;;Europe/Zurich;1201
GENÈVE;base.ch;scenario.user_center_geneve_res_partner;False;False;fr_FR;GENÈVE;Rue de Lausanne 31;;Europe/Zurich;1201
LYON;base.fr;scenario.company_agencyfr_center70_res_partner;True;True;fr_FR;LYON 3 PRÉFECTURE;80 Avenue du Maréchal de Saxe;;Europe/Paris;69003
LYON;base.fr;scenario.user_center_lyon3_res_partner;False;False;fr_FR;LYON 3 PRÉFECTURE;80 Avenue Maréchal de Saxe;;Europe/Paris;69003
;base.fr;scenario.company_agencyfr_center71_res_partner;True;True;;FORMATION;;;Europe/Paris;
NICE;base.fr;scenario.user_center_formation_res_partner;False;False;fr_FR;FORMATION;196 Avenue de la Californie California Park Chateau de Leliwa;;Europe/Paris;6200
LUXEMBOURG;base.lu;scenario.company_agencylu_center72_res_partner;True;True;fr_FR;LUXEMBOURG;56 GRAND RUE;;Europe/Luxembourg;1660
